sample;samplename_field;Individual;Individual_ID;replicate_ID;site;elevation;elevation_adj;altitudinal_level;habitat;treeline;Fieldcontrol;plate;sampletype;extract_blank;site_elevation;pH;C_oxid;OM;P_brayll;Ca;Mg;K;Al;CICe;Fe;Mn;Cu;Zn;B;S;N_total;N_NH4;N_NO3
T_T1_P1;;;;;;;;;;;;P1;T;;;;;;;;;;;;;;;;;;;;
S_10_1_P1;NV_4_IV_A;4;NV_4_4;NV_4_4_a;NV;3078;3000;4;forest;below;S_S1_4;P1;S;E_10_12;NV_4;4,64;98,13;222,8;8,54;1,35;0,75;0,29;5,678;8,059;27,12;33,801;0,049;1,957;1,2;81,65;7,805;48,129;0,345
S_10_2_P1;NV_4_V_A;5;NV_4_5;NV_4_5_a;NV;3078;3000;4;forest;below;S_S1_4;P1;S;E_10_12;NV_4;4,64;98,13;222,8;8,54;1,35;0,75;0,29;5,678;8,059;27,12;33,801;0,049;1,957;1,2;81,65;7,805;48,129;0,345
S_10_3_P1;NV_4_I_B;1;NV_4_1;NV_4_1_b;NV;3078;3000;4;forest;below;S_S1_4;P1;S;E_10_12;NV_4;4,64;98,13;222,8;8,54;1,35;0,75;0,29;5,678;8,059;27,12;33,801;0,049;1,957;1,2;81,65;7,805;48,129;0,345
S_10_4_P1;NV_4_II_B;2;NV_4_2;NV_4_2_b;NV;3078;3000;4;forest;below;S_S1_4;P1;S;E_10_12;NV_4;4,64;98,13;222,8;8,54;1,35;0,75;0,29;5,678;8,059;27,12;33,801;0,049;1,957;1,2;81,65;7,805;48,129;0,345
S_10_5_P1;NV_4_III_B;3;NV_4_3;NV_4_3_b;NV;3078;3000;4;forest;below;S_S1_4;P1;S;E_10_12;NV_4;4,64;98,13;222,8;8,54;1,35;0,75;0,29;5,678;8,059;27,12;33,801;0,049;1,957;1,2;81,65;7,805;48,129;0,345
S_10_6_P1;NV_4_IV_B;4;NV_4_4;NV_4_4_b;NV;3078;3000;4;forest;below;S_S1_4;P1;S;E_10_12;NV_4;4,64;98,13;222,8;8,54;1,35;0,75;0,29;5,678;8,059;27,12;33,801;0,049;1,957;1,2;81,65;7,805;48,129;0,345
S_10_7_P1;NV_4_V_B;5;NV_4_5;NV_4_5_b;NV;3078;3000;4;forest;below;S_S1_4;P1;S;E_10_12;NV_4;4,64;98,13;222,8;8,54;1,35;0,75;0,29;5,678;8,059;27,12;33,801;0,049;1,957;1,2;81,65;7,805;48,129;0,345
E_1_7_P1;;;;;;;;;;;;P1;E;E_1_7;;;;;;;;;;;;;;;;;;;
T_T2_P1;;;;;;;;;;;;P1;T;;;;;;;;;;;;;;;;;;;;
N_PCRB1_P1;;;;;;;;;;;;P1;N;;;;;;;;;;;;;;;;;;;;
S_10_8_P1;MA_1_I_A;1;MA_1_1;MA_1_1_a;MA;3677;3800;1;paramo;above;S_S2_4;P1;S;E_10_12;MA_1;3,5;126,5;287,2;53,04;3,36;0,68;0,5;3,329;7,864;51,77;6,725;0,157;40,47;3,67;42,7;4,163;140,21;0,425
E_2_12_P1;;;;;;;;;;;;P1;E;E_2_12;;;;;;;;;;;;;;;;;;;
S_10_9_P1;MA_1_II_A;2;MA_1_2;MA_1_2_a;MA;3677;3800;1;paramo;above;S_S2_4;P1;S;E_10_12;MA_1;3,5;126,5;287,2;53,04;3,36;0,68;0,5;3,329;7,864;51,77;6,725;0,157;40,47;3,67;42,7;4,163;140,21;0,425
S_10_11_P1;MA_1_IV_A;4;MA_1_4;MA_1_4_a;MA;3677;3800;1;paramo;above;S_S2_4;P1;S;E_10_12;MA_1;3,5;126,5;287,2;53,04;3,36;0,68;0,5;3,329;7,864;51,77;6,725;0,157;40,47;3,67;42,7;4,163;140,21;0,425
