site_elevation,elevation_adj,altitud,altitudinal_level,site,habitat,pH,C_oxid,OM,P_brayll,Ca,Mg,K,Al,CICe,Fe,Mn,Cu,Zn,B,S,N_total,N_NH4,N_NO3
NV_1,3800.0,3830.0,1,NV,Paramo,5.65,166.7,378.6,6.13,2.39,0.63,1.0,,,2.889,370.75,0.078,572.86,1.63,116.3,14.67,185.484,0.531
NV_2,3500.0,3550.0,2,NV,Subparamo,5.8,80.65,183.1,12.02,13.55,0.3,0.33,,,32.28,212.85,0.875,69.83,1.34,82.26,4.657,40.878,0.0
NV_3,3300.0,3330.0,3,NV,Andean forest,4.79,101.2,229.8,20.39,4.31,1.25,0.63,2.398,8.588,82.87,77.96,0.197,6.441,2.52,89.27,8.494,115.616,0.0
NV_4,3000.0,3080.0,4,NV,Andean forest,4.64,98.13,222.8,8.54,1.35,0.75,0.29,5.678,8.059,27.12,33.801,0.049,1.957,1.2,81.65,7.805,48.129,0.345
DOM_1,3800.0,3815.0,1,DO,Paramo,5.12,171.6,389.6,2.53,0.54,0.25,0.22,3.28,4.292,45.48,3.163,0.061,1.436,2.48,99.93,10.08,66.505,0.0
DOM_2,3500.0,3534.0,2,DO,Subparamo,5.24,108.0,245.2,1.47,1.38,0.61,0.65,1.517,4.158,7.493,23.82,0.031,21.96,2.56,112.4,8.598,269.017,2.563
DOM_3,3300.0,3224.0,3,DO,Andean forest,5.16,54.62,124.0,2.72,0.45,0.15,0.13,3.28,4.007,19.6,38.41,0.417,3.696,0.5,67.47,3.516,40.273,0.37
BEL_1,3300.0,3200.0,1,BEL,Subparamo,4.29,34.3,77.87,6.6,0.42,0.15,0.09,3.475,4.126,175.61,3.775,0.017,3.239,0.21,41.68,1.753,34.246,0.0
BEL_2,3000.0,2950.0,2,BEL,Andean forest,4.87,81.73,185.6,11.32,0.24,0.36,0.37,2.741,3.721,88.63,7.344,2.237,2.264,0.75,96.41,4.472,91.911,0.0
BEL_3,2700.0,2700.0,3,BEL,Andean forest,3.78,135.4,307.4,34.23,1.58,1.66,0.86,5.335,9.432,360.83,64.79,1.986,12.5,3.65,119.9,6.439,117.371,0.0
MA_1,3800.0,3677.0,1,MA,Paramo,3.5,126.5,287.2,53.04,3.36,0.68,0.5,3.329,7.864,51.77,6.725,0.157,40.47,3.67,42.7,4.163,140.21,0.425
MA_2,3300.0,3381.0,2,MA,Paramo,4.4,101.8,231.1,34.85,0.47,0.43,0.49,11.7,13.09,59.37,2.689,0.018,7.046,1.59,97.3,10.45,107.874,1.341
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,,,,,,
