"","Order","Genus","n_OTUs","total_w_abund","mean_w_abund","median_beta_paramo","mean_beta_paramo","q90_beta_paramo","max_beta_paramo","w_median_beta_paramo","w_mean_beta_paramo","median_beta_subparamo","mean_beta_subparamo","q90_beta_subparamo","max_beta_subparamo","w_median_beta_subparamo","w_mean_beta_subparamo","perc_enriched_paramo","perc_enriched_subparamo","perc_enriched_paramo_w","perc_enriched_subparamo_w"
"1","Coniochaetales","Coniochaeta",2,93347,46673.5,119.554741431879,119.554741431879,232.638135573746,260.908984109213,260.908984109213,254.379374218969,-25.1760000661895,-25.1760000661895,-24.8740062769627,-24.798507829656,-25.553492302723,-25.5360547147563,8.35534696642006e+53,-99.9999999988353,2.04801002233994e+115,-99.9999999992015
"2","Helotiales","Acephala",1,74622,74622,78.144392799358,78.144392799358,78.144392799358,78.144392799358,78.144392799358,78.144392799358,69.8616344322994,69.8616344322994,69.8616344322994,69.8616344322994,69.8616344322994,69.8616344322994,8.66320486198404e+35,2.1903944515616e+32,8.66320486198404e+35,2.1903944515616e+32
"3","Helotiales","Hyaloscypha",3,37175,12391.6666666667,28.9511635450147,23.0091596370759,66.9572612116053,76.4587856282529,28.9511635450147,26.8613082565128,27.2401156205849,34.2763807114962,59.1670240726871,67.1487511857126,27.2401156205849,29.0526057542203,374395458731715,67644408013303.2,374395458731715,67644408013303.2
"4","Helotiales","Pezicula",5,179213,35842.6,16.7196541348642,15.5291197329835,70.5836803950203,76.7761642522421,16.7196541348642,26.639828604857,-9.09209741944782,-2.21949135585687,43.6229005788229,75.7402243540748,-4.55308508405493,29.2798318639155,1824960657.21226,-99.9887448247452,1824960657.21226,-98.94653460936
"5","Helotiales","Lachnum",3,272850,90950,-15.5713786876279,-7.75544709551571,7.95151924624087,13.8322437297081,13.8322437297081,-1.52906860177653,12.5369206916028,16.0171212922579,26.6345725404236,30.1589855026288,5.35545768254219,9.01290705054649,-99.9999827242798,27842864.6768692,101687295.541837,21076.087343204
"6","Sclerococcales","Sclerococcum",4,285293,71323.25,3.49438604352469,10.1775051649008,41.6015581576192,55.1435496131021,10.0035780948258,24.6694347294357,-21.6910339259103,-17.2804781287805,10.4010576297324,17.7957654076549,-6.85326051875344,-8.64787538672955,3193.00641192646,-99.999999962007,2210441.97462251,-99.8943993056836
"7","Mortierellales","Mortierella",5,23138,4627.6,-18.2470125905649,-18.4056365949852,7.30259788081665,9.08655306209381,4.62666510890092,-7.65008266738198,17.5837621840895,-18.084898555051,31.8970276787477,36.8538804434545,-53.316214158954,-34.0631379100057,-99.9999988103393,4330428552.75173,10117.276029241,-100
"8","Helotiales","Gyoerffyella",3,45110,15036.6666666667,1.80964232260664,4.41902278509831,9.44204357349579,11.3501438862181,0.0972821464702075,2.73923574180588,5.53546881533504,4.00731379222707,10.8883882540769,12.2266181137623,-5.74014555241616,0.187745887122585,510.82622541385,25252.6616946278,10.217130349791,-99.6785699607931
"9","Ostropales","Cryptodiscus",3,160772,53590.6666666667,-29.8739573805761,-30.0843403272922,-6.14804778510516,-0.216570386237415,-0.216570386237415,-15.238428966321,23.7362645750088,23.9410192347726,38.0951635065513,41.6848882394369,6.40190488987203,12.6112254407129,-99.9999999999894,2034832783034.19,-19.4724147409478,60199.2579012008
"10","Helotiales","Pezoloma",2,87587,43793.5,-17.5555932957447,-17.5555932957447,-8.01521818354546,-5.63012440549564,-5.63012440549564,-6.12518651385585,-18.8289581115826,-18.8289581115826,-6.53186524179455,-3.45759202434754,-3.45759202434754,-4.09570369723491,-99.9999976247862,-99.9999993352055,-99.6411871083392,-96.8494464686418
