Site,Taxonomic_Level,beta.BRAY.BAL,beta.BRAY.GRA,beta.BRAY
DOM,OTU,0.9748,0.0244,0.9993
DOM,Genus,0.9164,0.078,0.9944
DOM,Order,0.7708,0.2166,0.9874
DOM,Class,0.4256,0.5418,0.9674
DOM,Phylum,0.2759,0.6859,0.9619
NV,OTU,0.987,0.0124,0.9995
NV,Genus,0.9553,0.0415,0.9969
NV,Order,0.7846,0.2059,0.9905
NV,Class,0.4516,0.5238,0.9754
NV,Phylum,0.147,0.8046,0.9516
BEL,OTU,0.987,0.0125,0.9994
BEL,Genus,0.9371,0.0573,0.9945
BEL,Order,0.7916,0.1995,0.9911
BEL,Class,0.4611,0.5121,0.9733
BEL,Phylum,0.0258,0.9434,0.9692
MA,OTU,0.9431,0.0557,0.9989
MA,Genus,0.9305,0.0627,0.9932
MA,Order,0.7966,0.1911,0.9877
MA,Class,0.5906,0.375,0.9656
MA,Phylum,0.0,0.9504,0.9505
